keyword,destination_url
shortlinks,https://github.com/g0v-network/link.g0v.network/blob/main/shortlinks.csv
shortlinks-alt,https://prose.io/#g0v-network/link.g0v.network/edit/main/shortlinks.csv
polis-user-group,https://hackmd.io/@patcon/conversa-calls
pug,https://hackmd.io/@patcon/conversa-calls
pug-calls,https://app.gather.town/app/BDYJ8D0shgY27Bbx/Conversa%20PUG:%20Cozy%20Office
pug-discord,https://discord.com/invite/wFWB8kzQpP
pug-topics,https://trello.com/b/vtdTZWUl/conversa-pug-ideas
passwords,https://docs.google.com/document/d/1ILt_Tjc2ZutVS9rkO2k7Xmr2t5o5o6WWxQmzSvhYx9w/edit
russia-ukraine-organizing,https://docs.google.com/document/d/1p0VWIxfczSi0i1hz0TLgaOi6fD9YLPVNw5Ca0DVK32s/edit
polis-twitter,https://docs.google.com/document/d/1RKQNEroXUU-TyeV1UszdsD07cmEMIt0dAVKjIYGRV8M/edit
rxc-voice-notes,https://docs.google.com/document/d/1XOL0bdBD1lg4lxz9FD7IWeZgwhY7kZ5TcU5kzkb_2uk/edit
dns,https://github.com/g0v-network/domains/blob/main/g0v.network.domain/link.g0v.network.yaml
domains,https://github.com/g0v-network/domains#readme
chat,https://join.g0v.tw/
slack,https://join.g0v.tw/
join,https://join.g0v.tw/
speedlinks,https://handbook.hypha.coop/guides.html#accessing-shortlinks
polis-example-1,https://pol.is/4asymkcrjf
walter-report-notes,https://docs.google.com/document/d/1J-RTFqM08h14JvtbSAEiIumJJDf5JUHcHu_uhxmOSX0/edit#
walter-report,https://twitter.com/i/spaces/1RDGlgYZdWOKL/peek
walter-report-gdrive,https://drive.google.com/drive/folders/1IUE-gV-3m_wPd59wqaTQqdMXtPeFA7A5
walter-report-notes-edit,https://docs.google.com/document/d/1J-RTFqM08h14JvtbSAEiIumJJDf5JUHcHu_uhxmOSX0/edit#
walter-report-notes-readonly,https://docs.google.com/document/d/e/2PACX-1vSHIQGU0JUVqZWc4KGGKpElhSCxJEPRvkF5ies15xxnb0LVAO_MW1tNiJMgxR1-uuXuAvDjHxc4XIYy/pub
walter-report-discord,https://discord.com/invite/EjNk9x3v
